v2;v1;v3;v4;v5;v6;v7;v8;v9;v10
170;170;170;170;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
171;171;171;171;;;;;;
254;254;254;254;;;;;;
0;0;0;0;;;;;;
179;179;179;179;;;;;;
42;42;42;42;;;;;;
171;171;171;171;;;;;;
42;42;42;42;;;;;;
149;149;149;149;;;;;;
154;154;154;154;;;;;;
102;102;102;102;;;;;;
89;89;89;89;;;;;;
154;154;154;154;;;;;;
165;165;165;165;;;;;;
169;169;169;169;;;;;;
169;169;169;169;;;;;;
154;154;154;154;;;;;;
86;86;86;86;;;;;;
89;149;153;153;;;;;;
169;165;154;149;;;;;;
102;166;102;166;;;;;;
89;89;89;89;;;;;;
150;150;150;150;;;;;;
170;170;170;170;;;;;;
165;165;165;165;;;;;;
101;101;101;101;;;;;;
90;90;90;90;;;;;;
150;150;150;150;;;;;;
85;85;85;85;;;;;;
149;149;149;149;;;;;;
101;101;101;101;;;;;;
89;89;89;89;;;;;;
102;102;102;102;;;;;;
85;85;85;85;;;;;;
150;150;150;150;;;;;;
105;106;101;106;;;;;;
170;170;169;105;;;;;;
150;106;86;170;;;;;;
172;172;172;172;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
170;170;170;170;;;;;;
#GETAL!;249;;;;;;;;
