x02-medium-parallel.csv,x03-medium-parallel.csv,x04-full-parallel.csv,x05-full-parallel.csv,x06-full-parallel.csv,x07-low-parallel.csv,x08-low-parallel.csv,x09-low-parallel.csv,x10-medium-parallel.csv,x11-medium-parallel.csv,x12-medium-parallel.csv,x13-timer1-parallel.csv,x14-timer1-parallel.csv,x15-timer1-parallel.csv,x16-timer2-parallel.csv,x17-timer2-parallel.csv,x18-timer2-parallel.csv,x19-low+full-parallel.csv,x20-low+full-parallel.csv,x21-low+full-parallel.csv,x22-medium+timer-parallel.csv,x23-medium+timer-parallel.csv,x24-medium+timer-error-parallel.csv,x25-full+low+medium+timer-parallel.csv,x26-full-error-parallel.csv,x27-medium-error-parallel.csv,x28-full-parallel.csv,x29-medium-parallel.csv,x30-timer1-parallel.csv,x31-low-parallel.csv,y01-high-parallel.csv,y02-high-parallel.csv,y03-high-parallel.csv,y04-high-parallel.csv
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,255,255,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,255,255,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,255,255,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,255,255,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,128,255,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,0,255,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,42,255,127,255,170,170
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,255,255,255,171,255,170,255,192,128,171,171
254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,255,255,255,254,255,170,255,22,44,254,254
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,255,170,255,101,202,0,0
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,255,255,255,179,255,170,255,85,170,179,179
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,255,255,255,42,255,170,255,101,202,42,42
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,255,255,255,171,255,170,255,82,165,171,171
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,255,255,255,42,255,170,255,179,102,42,42
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,255,255,255,149,255,255,255,77,154,149,149
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,255,255,255,154,255,128,255,43,86,154,154
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,255,255,255,105,255,44,255,77,154,105,105
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,255,255,255,90,255,202,255,77,154,90,90
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,255,255,255,106,255,170,255,53,106,106,106
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,255,255,255,105,255,202,255,45,90,105,105
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,255,255,255,169,255,165,255,51,102,169,169
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,255,255,255,105,255,102,255,74,149,105,105
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,255,255,255,154,255,154,255,202,149,154,154
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,255,255,255,86,255,86,255,172,86,86,86
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,149,149,149,149,149,149,149,149,255,255,255,149,255,154,255,172,89,85,85
149,165,153,169,150,166,154,170,149,165,153,169,150,166,154,149,153,150,166,154,170,149,165,255,255,255,154,255,154,255,203,150,153,106
102,102,102,102,102,102,102,102,166,166,166,166,166,166,166,102,102,105,105,105,105,169,166,255,255,255,166,255,106,255,50,101,102,102
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,89,255,255,255,89,255,90,255,213,170,89,89
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,170,170,170,170,170,150,255,255,255,150,255,102,255,84,169,150,150
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,90,90,90,90,90,170,255,255,255,170,189,149,255,172,89,170,170
165,165,165,165,165,165,165,165,165,165,165,169,169,169,169,169,169,165,165,165,165,165,165,255,255,255,165,239,153,251,171,86,165,165
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,165,165,165,165,165,101,255,255,255,101,123,101,222,82,165,101,101
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,89,89,89,89,89,90,255,255,255,90,127,89,243,202,149,90,90
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,106,106,106,106,106,150,255,255,255,150,126,150,183,178,101,150,150
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,255,255,255,85,247,101,119,172,89,85,85
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,255,255,255,149,123,170,127,171,86,149,149
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,102,102,102,102,102,101,255,255,255,101,222,170,119,44,89,101,101
90,90,89,89,89,89,89,89,90,90,90,89,89,89,89,89,89,89,89,89,89,89,90,255,255,255,89,170,89,189,202,149,89,89
150,150,102,102,102,150,150,150,150,150,150,86,86,86,86,86,86,150,150,150,150,150,150,255,255,255,102,170,86,170,178,101,102,102
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,170,170,170,170,170,85,255,255,255,85,170,165,170,205,154,85,85
150,150,150,150,150,150,150,150,150,150,150,153,153,153,153,153,153,165,165,165,165,165,150,255,255,255,150,170,149,170,84,169,150,150
106,106,106,106,106,106,106,106,106,106,106,166,166,166,166,166,166,105,105,105,105,105,102,255,255,255,105,170,101,170,173,166,106,106
169,170,170,169,170,169,170,169,169,170,169,169,170,169,170,170,170,90,90,90,90,90,170,255,255,255,170,170,89,170,85,171,170,165
106,154,90,90,166,90,166,166,102,150,150,106,154,154,90,166,102,106,106,106,106,106,150,255,255,255,106,170,86,170,149,42,90,166
172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,105,105,105,105,105,172,255,255,255,172,175,85,170,85,170,172,172
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,169,169,169,169,169,170,255,255,255,170,248,149,170,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,105,105,105,105,105,170,255,255,255,170,2,102,255,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,154,154,154,154,154,170,255,255,255,170,204,106,128,85,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,86,86,86,86,86,170,255,255,255,170,170,106,44,95,191,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,85,85,85,85,85,170,255,255,255,170,172,169,202,207,159,170,170
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,7,7,7,7,7,5,5,5,7,7,7,7
